checkpoint_step,variant,n,clear_rate_mean,clear_rate_std,cap_rate_mean,cap_rate_std,completion_time_given_clear_mean,completion_time_given_clear_std,penalized_completion_time_cap_mean,penalized_completion_time_cap_std,penalized_completion_time_cap_plus_penalty_mean,penalized_completion_time_cap_plus_penalty_std,completion_time_p50_mean,completion_time_p90_mean,stuck_fraction_mean,stuck_fraction_std,mean_progress_mean,mean_progress_std
250000,baseline,5,0.716,0.38894729720104754,0.284,0.38894729720104754,1097.096,15.823257566000756,2206.184,1516.9934743036965,2490.184,1905.9330945969748,1097.4,1107.4,0.2272224,0.3111399735630252,3056.212,166.229186125662
250000,baseline_plus_time_tail,5,1.0,0.0,0.0,0.0,1096.232,18.484548141623616,1096.232,18.484548141623616,1096.232,18.484548141623616,1098.0,1099.2,0.0,0.0,3161.0,0.0
500000,baseline,5,1.0,0.0,0.0,0.0,1096.3200000000002,15.92100499340418,1096.3200000000002,15.92100499340418,1096.3200000000002,15.92100499340418,1095.2,1104.0,0.0,0.0,3161.0,0.0
500000,baseline_plus_time_tail,5,0.916,0.18782971010998234,0.08399999999999999,0.1878297101099823,1078.1452413793104,2.4833152441171107,1407.208,738.2892748238997,1491.208,926.118984429107,1077.2,1081.2,0.0663096,0.14827277316082005,3147.056,31.17973187825698
1000000,baseline,5,0.944,0.12521980673998823,0.05600000000000001,0.12521980673998823,1077.484,0.44663183943821927,1297.172,490.96686621400437,1353.172,616.186646820588,1077.6,1077.6,0.046278400000000004,0.10348164828992629,3116.816,98.79842751785074
1000000,baseline_plus_time_tail,5,1.0,0.0,0.0,0.0,1077.772,0.36016662810421457,1077.772,0.36016662810421457,1077.772,0.36016662810421457,1077.8,1078.0,0.0,0.0,3161.0,0.0
