variant,n,clear_rate_mean,clear_rate_sd,clear_rate_median,clear_rate_n,eval_cap_rate_mean,eval_cap_rate_sd,eval_cap_rate_median,eval_cap_rate_n,penalized_completion_cap_mean,penalized_completion_cap_sd,penalized_completion_cap_median,penalized_completion_cap_n,penalized_completion_cap_plus_penalty_mean,penalized_completion_cap_plus_penalty_sd,penalized_completion_cap_plus_penalty_median,penalized_completion_cap_plus_penalty_n,completion_time_given_clear_mean,completion_time_given_clear_sd,completion_time_given_clear_median,completion_time_given_clear_n,completion_time_p90_mean,completion_time_p90_sd,completion_time_p90_median,completion_time_p90_n,stuck_fraction_mean,stuck_fraction_sd,stuck_fraction_median,stuck_fraction_n,mean_progress_mean,mean_progress_sd,mean_progress_median,mean_progress_n
baseline,10,0.758,0.3975983456258897,1.0,10,0.242,0.3975983456258897,0.0,10,2044.4779999999998,1549.6702065048837,1110.96,10,2286.478,1947.2623466566251,1110.96,10,1099.9266666666667,13.408351874857713,1100.1,9,1109.3333333333333,12.569805089976535,1111.0,9,0.1923884,0.3154950584825907,0.0,10,3090.3779999999997,128.57445899814886,3161.0,10
baseline_plus_time_tail,10,0.958,0.13281566172707193,1.0,10,0.041999999999999996,0.13281566172707193,0.0,10,1263.258,520.8589433660945,1104.02,10,1305.258,653.6254474476275,1104.02,10,1099.962,16.427211706325707,1104.02,10,1103.0,18.196458751941574,1112.0,10,0.0397152,0.1255904897291192,0.0,10,3058.6040000000003,323.8045832906014,3161.0,10
